id,source,make,model,title,year,mileage,engine,gearbox,power_ps,power_kw,currency,price,estimated_price,cc,url,location,equipment,seller_name,seller_url,range,consumption_fuel,consumption_kw,co2,days_in_sale,ranges,rating
5180928,autouncle.ro,BMW,X5,BMW X5 M50I,2022,84904,Petrol,Automatic,530,389,EUR,55680,62850.0,4400.0,,,"4-wheel drive, Glass roof, Aircon, Parking sensor, Sunroof, GPS, Headup display, Sport package",Bavariaused.com,,,,,270.0,130.0,,
5243480,autouncle.ro,BMW,740L,"BMW 740L Seria 7, I XDRIVE",2022,92208,Petrol,Automatic,340,250,EUR,53080,60994.0,3000.0,,,"4-wheel drive, Glass roof, Aircon, Parking sensor, Trailer coupling, Sunroof, GPS, Headup display, Sport package",Bavariaused.com,,,,,211.0,75.0,,
4769260,autouncle.ro,BMW,M3,BMW M3 COMPETITION,2022,15465,Petrol,Automatic,510,375,EUR,61680,67623.0,3000.0,,,"4-wheel drive, Cruise control, Aircon, Parking sensor, GPS, Headup display, Sport package, Sport seats",Bavariaused.com,,,,,224.0,279.0,,
5288094,autouncle.ro,BMW,X5,BMW X5 XDRIVE 40D,2022,80200,Hybrid,Automatic,340,250,EUR,55980,63115.0,3000.0,,,"4-wheel drive, Cruise control, Parking sensor, Stop&Go, GPS, Headup display, Sport package, Sport seats",Bavariaused.com,,,,,188.0,19.0,,
5153642,autouncle.ro,Audi,A8,Audi A8 50 TDI Quattro Navarra Blue pe stoc,2022,45000,Diesel,Automatic,286,210,EUR,56000,61300.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,154.0,,
5148705,autouncle.ro,BMW,X5,BMW X5 xDrive30d xLine Laser Pano KomfZu SoftClose,2022,84941,Diesel,Automatic,286,210,EUR,55133,59695.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,158.0,,
4950407,autouncle.ro,BMW,X6,BMW X6 xDrive30d AT MHEV,2022,21900,Diesel,Automatic,286,210,EUR,79900,84794.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,321.0,,
4796924,autouncle.ro,BMW,X6,BMW X6 ,2022,9300,Diesel,Manual,286,210,EUR,86037,92844.0,3000.0,,,,Leasingsh.ro,,,,,0.0,448.0,,
4747734,autouncle.ro,BMW,X6,BMW X6 ,2022,38000,Diesel,Automatic,286,210,EUR,78749,88255.0,3000.0,,,,Leasingsh.ro,,,,,0.0,495.0,,
4639745,autouncle.ro,Mercedes,GLE400,Mercedes GLE400 2022 3.0 Diesel 330 CP 16.658 km - 85.838 EUR - leasing auto,2022,16658,Diesel,Automatic,330,242,EUR,83780,88850.0,2900.0,,,,Leasingsh.ro,,,,,0.0,581.0,,
5272230,autouncle.ro,Land Rover,Defender,Land Rover Defender 110 3.0D 300 MHEV X-Dynamic HSE,2022,47402,Diesel,Automatic,300,220,EUR,79990,88750.0,3000.0,,,,Leasingsh.ro,,,,,0.0,39.0,,
4620277,autouncle.ro,Mercedes,EQE AMG 43,Mercedes EQE AMG 43 4 matic,2022,6000,Electric,Automatic,476,350,EUR,99000,104348.0,0.0,,,"4-wheel drive, Glass roof, Climate control, Parking sensor, Sunroof, Lane warning, GPS, Headup display, Auto dimming mirror, Sport seats, Distance control",Casaauto-rulate.ro,,534.0,,19.6,0.0,297.0,,
4890017,autouncle.ro,BMW,XM,"BMW XM XM,2022, 13834 KM, 653 CP",2022,13845,Hybrid,Automatic,653,480,EUR,115780,123651.0,4400.0,,,"4-wheel drive, Parking sensor, Trailer coupling, GPS, Sport package",Bavariaused.com,,,,,291.0,373.0,,
5197552,autouncle.ro,Mercedes,GLS400,Mercedes GLS400 d 4Matic * AMG * Softclose * Garantie *,2022,19000,Diesel,Automatic,330,242,EUR,101839,107306.0,2900.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,120.0,,
5195416,autouncle.ro,Mercedes,S400,Mercedes S400 Clasad 4M AMG/PANO/DIGITAL-LIGHT/REALITY/360°/21,2022,47500,Diesel,Automatic,330,242,EUR,104893,111533.0,2900.0,,,,Leasingsh.ro,,,,,0.0,122.0,,
5195367,autouncle.ro,Mercedes,GLE63 AMG,Mercedes GLE63 AMG AMG S AMG Coupe 4Matic+ MULTIBEAM LED +,2022,28300,Petrol,Automatic,612,450,EUR,118827,125565.0,4000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,122.0,,
5195244,autouncle.ro,Mercedes,GLE53 AMG,Mercedes GLE53 AMG GLE 53 4M+ Coupe AHK Dist HUD Pano,2022,17450,Petrol,Automatic,435,319,EUR,97559,104353.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,122.0,,
5184193,autouncle.ro,Mercedes,S500,Mercedes S500 Clasa4M lang gold MATTLACK MANUFAKTUR Interieur,2022,7351,Petrol,Automatic,435,319,EUR,116445,126725.0,3000.0,,,,Leasingsh.ro,,,,,0.0,125.0,,
5184172,autouncle.ro,Mercedes,S400,Mercedes S400 Clasad 4M AMG/PANO/DIGITAL-LIGHT/REALITY/360°/21,2022,42500,Diesel,Automatic,330,242,EUR,104893,111954.0,2900.0,,,,Leasingsh.ro,,,,,0.0,125.0,,
4816968,autouncle.ro,Volvo,XC90,Volvo XC90 B5 (D) AT8 AWD PLUS BRIGHT,2023,12200,Hybrid,Automatic,235,172,EUR,51500,58413.0,2000.0,,,"4-wheel drive, Full leather, Cruise control, Parking sensor, GPS",Volvo.ro,,,,,0.0,430.0,,
5244183,autouncle.ro,Ford,Ranger,Ford Ranger RAPTOR 3.0 Benzina,2023,32900,Petrol,Automatic,292,214,EUR,57949,63703.0,3000.0,,,"4-wheel drive, Particle filter, Full leather, Climate control, Parking sensor, Trailer coupling, Stop&Go, Lane warning, Isofix, GPS, ESP, Xenon headlights, Electric seat, Distance control, One owner",Carzz,,,,,0.0,74.0,,
5180369,autouncle.ro,Mercedes,GLC300e,Mercedes GLC300e Certified4MATIC,2023,19080,Hybrid,Automatic,204,150,EUR,65900,74852.0,2000.0,,,"4-wheel drive, Glass roof, Climate control, Sunroof, GPS, Headup display, Sport seats, Distance control",Casaauto-rulate.ro,,,,,0.0,131.0,,
5162681,autouncle.ro,BMW,X5,BMW X5 XDRIVE30D,2023,55900,Hybrid,Automatic,286,210,EUR,61680,68371.0,3000.0,,,"4-wheel drive, Aircon, Parking sensor, Trailer coupling, Sunroof, GPS, Headup display, Sport package, Sport seats",Bavariaused.com,,,,,195.0,146.0,,
5264960,autouncle.ro,BMW,X5,BMW X5 XDRIVE30D,2023,15500,Hybrid,Automatic,286,210,EUR,63980,70517.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,188.0,48.0,,
5261356,autouncle.ro,Mercedes,E200,Mercedes E200 ClasaMHEV Aut.,2023,37740,Petrol,Automatic,204,150,EUR,52900,60805.0,2000.0,,,,Leasingsh.ro,,,,,0.0,53.0,,
5261355,autouncle.ro,Mercedes,E200,Mercedes E200 Clasa9G-TRONIC,2023,34110,Petrol,Automatic,204,150,EUR,52900,60879.0,2000.0,,,,Leasingsh.ro,,,,,0.0,53.0,,
5248419,autouncle.ro,BMW,X5,BMW X5 XDRIVE40D,2023,62400,Diesel,Automatic,340,250,EUR,60495,64858.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,0.0,68.0,,
5184078,autouncle.ro,Mercedes,E200,Mercedes E200 ClasaCOUPE AMG LEDER TOTW PANO NETTO 39.600,2023,11504,Petrol,Automatic,197,144,EUR,52144,58131.0,2000.0,,,,Leasingsh.ro,,,,,0.0,125.0,,
5153711,autouncle.ro,BMW,X5,BMW X5 xDrive30d xLine DAB LED RFK PA LiveCockpit,2023,9999,Diesel,Automatic,286,210,EUR,62459,67642.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,154.0,,
5147192,autouncle.ro,BMW,M440,BMW M440 i ACC|HUD|H&K|Laser|Surround|Nackenhzg|Alarm,2023,39055,Petrol,Automatic,374,275,EUR,54043,58672.0,3000.0,,,,Leasingsh.ro,,,,,0.0,159.0,,
5156677,autouncle.ro,Audi,Q8,Audi Q8 55 TFSI quattro,2023,9573,Petrol,Automatic,340,250,EUR,74900,81193.0,3000.0,,,4-wheel drive,Audi,,,8.8,,245.0,152.0,,
4798649,autouncle.ro,BMW,X6,BMW X6 ,2023,25130,Diesel,Manual,340,250,EUR,86350,95523.0,3000.0,,,,Leasingsh.ro,,,,,0.0,446.0,,
5211823,autouncle.ro,BMW,X5,BMW X5 XDRIVE40I,2023,8000,Hybrid,Automatic,381,280,EUR,73780,82474.0,3000.0,,,"4-wheel drive, Parking sensor, Trailer coupling, GPS, Sport package, Sport seats",Bavariaused.com,,,,,202.0,110.0,,
5117375,autouncle.ro,BMW,750e,BMW 750e XDRIVE,2023,47600,Hybrid,Automatic,489,359,EUR,85280,94492.0,3000.0,,,"4-wheel drive, Glass roof, Parking sensor, Sunroof, GPS",Bavariaused.com,,,,,186.0,182.0,,
5273342,autouncle.ro,BMW,X6,BMW X6 XDRIVE30D,2023,16400,Hybrid,Automatic,286,210,EUR,71980,77716.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,188.0,38.0,,
5273315,autouncle.ro,BMW,X6,BMW X6 xDrive30d,2023,16400,Diesel,Automatic,286,210,EUR,85656,90884.0,3000.0,,,"4-wheel drive, Parking sensor, Trailer coupling, Sport seats",Bmw,,,7.2,,188.0,38.0,,
5183042,autouncle.ro,Mercedes,CLS450,"Mercedes CLS450 4MATIC AMG, Night, StHz,S-Dach, AirBodyC",2023,42862,Petrol,Automatic,367,269,EUR,73658,79021.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,126.0,,
5182897,autouncle.ro,Mercedes,GLE450 AMG,Mercedes GLE450 AMG 4M AMG-Sport/360/Pano/AHK/Night/Totw/21',2023,33702,Petrol,Automatic,367,269,EUR,82599,88106.0,3000.0,,,,Leasingsh.ro,,,,,0.0,126.0,,
5139902,autouncle.ro,BMW,740,BMW 740 D XDRIVE,2023,38200,Diesel,Automatic,299,219,EUR,91844,100679.0,3000.0,,,"4-wheel drive, Parking sensor, GPS, Sport package",Bmw,,,6.5,,171.0,165.0,,
5088945,autouncle.ro,BMW,XM,BMW XM ,2023,14458,Hybrid,Automatic,489,359,EUR,141851,148791.0,4400.0,,,,Leasingsh.ro,,,,,0.0,201.0,,
5141733,autouncle.ro,BMW,XM,BMW XM ,2023,33900,Hybrid,Automatic,653,480,EUR,105280,111821.0,4400.0,,,"4-wheel drive, Parking sensor, Trailer coupling, GPS, Sport package",Bavariaused.com,,,,,286.0,164.0,,
5203892,autouncle.ro,Mercedes,GLE53 AMG,Mercedes GLE53 AMG 4M+ Night+Pano+AHK+DISTRON+LED+360°-K,2023,3161,Petrol,Automatic,435,319,EUR,97149,106551.0,3000.0,,,4-wheel drive,Leasingsh.ro,,,,,0.0,116.0,,
5148692,autouncle.ro,BMW,740,BMW 740 Seria 7 d xDrive M Sport|SkyLounge|Bowers&Wilkins,2023,29350,Diesel,Automatic,299,219,EUR,94647,101270.0,3000.0,,,"4-wheel drive, Sport package",Leasingsh.ro,,,,,0.0,158.0,,
5148623,autouncle.ro,BMW,740,BMW 740 Seria 7 d xDrive M Sportpaket|DAProf.|Bowers&Wilkins,2023,20866,Diesel,Automatic,299,219,EUR,94647,101837.0,3000.0,,,"4-wheel drive, Sport package",Leasingsh.ro,,,,,0.0,158.0,,
5090737,autouncle.ro,BMW,750e,BMW 750e Seria 7xDrive Neues Modell |M Sport|Klimasitze Ma,2023,10200,Hybrid,Automatic,489,359,EUR,111288,117448.0,3000.0,,,"4-wheel drive, Sport package",Leasingsh.ro,,,,,0.0,200.0,,
4996661,autouncle.ro,Mercedes,EQE350,Mercedes EQE350 4MATIC SUV,2024,6000,Electric,Automatic,292,214,EUR,67050,73083.0,0.0,,,"4-wheel drive, Glass roof, Climate control, Parking sensor, Sunroof, Lane warning, GPS, Distance control",Casaauto-rulate.ro,,614.0,,17.0,0.0,280.0,,
5200614,autouncle.ro,Mercedes,GLC220,Mercedes GLC220 d 4MATIC Coupe,2024,0,Diesel,Automatic,197,144,EUR,62692,68101.0,2000.0,,,"4-wheel drive, Particle filter, Glass roof, Climate control, Sunroof, GPS, Sport seats",Casaauto-rulate.ro,,,,,0.0,118.0,,
5137916,autouncle.ro,VW,Touareg,VW Touareg Elegance V6 TDI TD,2024,60534,Diesel,Manual,286,210,EUR,51500,57854.0,3000.0,,,,Dasweltauto.ro,,,6.6,,215.0,167.0,,
5239627,autouncle.ro,BMW,X5,BMW X5 XDRIVE30D,2024,24861,Diesel,Automatic,286,210,EUR,62176,70817.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,0.0,80.0,,
5294436,autouncle.ro,BMW,X3,BMW X3 M40I,2024,29178,Petrol,Automatic,360,264,EUR,51672,57707.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,0.0,11.0,,
5288042,autouncle.ro,BMW,X4,BMW X4 M40D,2024,21767,Diesel,Automatic,340,250,EUR,52016,58256.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,0.0,19.0,,
5271903,autouncle.ro,BMW,X5,BMW X5 XDRIVE30D,2024,24600,Hybrid,Automatic,286,210,EUR,64980,73999.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,206.0,39.0,,
5267620,autouncle.ro,BMW,iX,"BMW iX iX,XDRIVE50",2024,7392,Electric,Automatic,523,384,EUR,66980,74335.0,0.0,,,4-wheel drive,Bavariaused.com,,630.0,,19.8,0.0,45.0,,
5260149,autouncle.ro,BMW,M850,"BMW M850 Seria 8,XDRIVE",2024,21651,Petrol,Automatic,530,389,EUR,67142,73082.0,4400.0,,,4-wheel drive,Bavariaused.com,,,,,0.0,54.0,,
5260137,autouncle.ro,BMW,M850,"BMW M850 Seria 8,XDRIVE",2024,16593,Petrol,Automatic,530,389,EUR,68058,74228.0,4400.0,,,4-wheel drive,Bavariaused.com,,,,,0.0,54.0,,
5255082,autouncle.ro,Ford,Ranger,Ford Ranger ,2024,6000,Diesel,Automatic,240,176,EUR,52360,57764.0,3000.0,,,,Leasingsh.ro,,,,,0.0,60.0,,
5301225,autouncle.ro,BMW,840,BMW 840 i xDrive Cabriolet,2024,14195,Petrol,Automatic,340,250,EUR,74946,79737.0,3000.0,,,"4-wheel drive, Parking sensor, Sport package",Bmw,,,9.0,,205.0,3.0,,
5300503,autouncle.ro,BMW,X6,BMW X6 xDrive30d,2024,18000,Diesel,Automatic,286,210,EUR,88036,95839.0,3000.0,,,"4-wheel drive, Parking sensor, Trailer coupling, Sport package, Sport seats",Bmw,,,7.3,,191.0,4.0,,
5242006,autouncle.ro,BMW,X6,BMW X6 xDrive30d,2024,15500,Diesel,Automatic,286,210,EUR,88869,96239.0,3000.0,,,"4-wheel drive, Parking sensor, Trailer coupling, Sport package, Sport seats",Bmw,,,7.3,,191.0,77.0,,
5170503,autouncle.ro,BMW,X6,BMW X6 XDRIVE30D M SPORT,2024,22000,Diesel,Automatic,286,210,EUR,89345,95199.0,3000.0,,,"4-wheel drive, Glass roof, Parking sensor, Trailer coupling, Sunroof, GPS, Sport package, Sport seats",Bmw,,,7.2,,189.0,139.0,,
5273322,autouncle.ro,BMW,X6,BMW X6 xDrive40i,2024,25800,Petrol,Automatic,381,280,EUR,86920,94177.0,3000.0,,,"4-wheel drive, Glass roof, Parking sensor, Trailer coupling, Sunroof, Sport seats",Bmw,,,8.7,,198.0,38.0,,
5261637,autouncle.ro,Audi,Q8,Audi Q8 PI 50 TDI quattro,2024,200,Diesel,Automatic,286,210,EUR,89990,99342.0,3000.0,,,4-wheel drive,Dasweltauto.ro,,,,,0.0,53.0,,
5300654,autouncle.ro,BMW,X6,BMW X6 XDRIVE30D,2024,18000,Hybrid,Automatic,286,210,EUR,73980,82671.0,3000.0,,,4-wheel drive,Bavariaused.com,,,,,191.0,3.0,,
5243479,autouncle.ro,BMW,740,"BMW 740 Seria 7, D XDRIVE SEDAN",2024,28300,Hybrid,Automatic,299,219,EUR,89380,98717.0,3000.0,,,"4-wheel drive, Glass roof, Parking sensor, Sunroof, GPS, Sport package",Bavariaused.com,,,,,164.0,75.0,,
5260986,autouncle.ro,BMW,X6,BMW X6 XDRIVE30D,2024,5700,Hybrid,Automatic,286,210,EUR,75380,84638.0,3000.0,,,"4-wheel drive, Aircon, Parking sensor, Trailer coupling, Sunroof, GPS",Bavariaused.com,,,,,191.0,53.0,,
5184088,autouncle.ro,BMW,X7,BMW X7 XDRIVE40D,2024,5050,Hybrid,Automatic,340,250,EUR,86280,91990.0,3000.0,,,"4-wheel drive, Parking sensor, Trailer coupling, GPS, Sport package",Bavariaused.com,,,,,209.0,125.0,,
5170107,autouncle.ro,BMW,X6,BMW X6 XDRIVE30D,2024,22000,Hybrid,Automatic,286,210,EUR,75080,82031.0,3000.0,,,"4-wheel drive, Parking sensor, Trailer coupling, Sunroof, GPS, Sport seats",Bavariaused.com,,,,,189.0,140.0,,
